metric,value
mAP50-95,37.27035057741261
AP50,69.4721105877499
AP75,36.15466467869929
AP_small,5.270626788103188
AP_medium,31.74410671085074
AP_large,54.80916792440353
AR1,28.055603626571735
AR10,41.22213888966606
AR100,41.35932852088062
AR_small,9.055037296263354
AR_medium,37.94990786129204
AR_large,58.690325057263024
AR50-95,41.35932852088062
paper_mAP50-95,37.27035057741261
paper_AR50-95,41.35932852088062
mIoU_all,81.43915444954612
mPA_all,88.91901139240619
mPrecision_all,89.27044336993555
mIoU_o,76.61331031291579
mIoU_d,98.62989372591848
IoU_class_0,98.02932412958609
IoU_class_1,82.41017663630502
IoU_class_2,80.78057126252264
IoU_class_3,63.78574402382484
IoU_class_4,87.07783177383708
IoU_class_5,78.81708867487743
IoU_class_6,89.34290821164524
IoU_class_7,54.078851607398306
IoU_class_8,98.62989372591848
dark_count,175
dark_mAP50-95,36.45110008664842
dark_AP50,69.86867140819217
dark_AP75,33.50921082592316
dark_AP_small,7.780703658359986
dark_AP_medium,24.259806860001206
dark_AP_large,69.96562846886076
dark_AR1,30.682949536403715
dark_AR10,41.86075011399909
dark_AR100,41.9576493388053
dark_AR_small,10.968002585649646
dark_AR_medium,31.59817351598174
dark_AR_large,73.33333333333333
dark_AR50-95,41.9576493388053
dark_mIoU_all,42.32848141663508
dark_mPA_all,49.39783081904012
dark_mPrecision_all,45.0458690550443
dark_mIoU_o,26.62650249361104
dark_mIoU_d,97.9321526486771
dark_IoU_class_0,96.63866264576136
dark_IoU_class_1,52.313994420083986
dark_IoU_class_2,45.23650449287221
dark_IoU_class_3,0.0
dark_IoU_class_4,0.0
dark_IoU_class_5,0.0
dark_IoU_class_6,88.83501854232107
dark_IoU_class_7,0.0
dark_IoU_class_8,97.9321526486771
dim_count,1124
dim_mAP50-95,25.68298803686584
dim_AP50,56.11270750521874
dim_AP75,22.078850624029375
dim_AP_small,3.3408999118089393
dim_AP_medium,20.145084580294757
dim_AP_large,49.05155462827612
dim_AR1,21.979011448935683
dim_AR10,30.000482781186115
dim_AR100,30.114663470460368
dim_AR_small,5.588146341330023
dim_AR_medium,25.42526277737197
dim_AR_large,53.19084053550246
dim_AR50-95,30.114663470460368
dim_mIoU_all,55.77712985710909
dim_mPA_all,61.777986466314836
dim_mPrecision_all,66.01439413912028
dim_mIoU_o,43.713027295549416
dim_mIoU_d,98.3451956709358
dim_IoU_class_0,97.65778197420015
dim_IoU_class_1,73.8691936425791
dim_IoU_class_2,61.69923231016913
dim_IoU_class_3,40.560134911503724
dim_IoU_class_4,0.0
dim_IoU_class_5,41.074430916234206
dim_IoU_class_6,88.78819928835975
dim_IoU_class_7,0.0
dim_IoU_class_8,98.3451956709358
small_count,8475
small_mAP50-95,35.3337966148473
small_AP50,68.23416825927
small_AP75,33.22938650166196
small_AP_small,5.299035702497207
small_AP_medium,31.764452998962117
small_AP_large,53.944388265030774
small_AR1,25.62636522836486
small_AR10,39.35635436965582
small_AR100,39.494836047597886
small_AR_small,9.055037296263354
small_AR_medium,37.94990786129204
small_AR_large,57.87649145051725
small_AR50-95,39.494836047597886
small_mIoU_all,80.6734325444647
small_mPA_all,88.54885269764705
small_mPrecision_all,88.76374569926146
small_mIoU_o,75.62845941248676
small_mIoU_d,98.58815767769384
small_IoU_class_0,98.07351933508113
small_IoU_class_1,80.25133731468253
small_IoU_class_2,80.78951529635151
small_IoU_class_3,64.28164301431907
small_IoU_class_4,84.96188641970576
small_IoU_class_5,78.73691927115874
small_IoU_class_6,86.29752480261486
small_IoU_class_7,54.08038976857491
small_IoU_class_8,98.58815767769384
mAP_da,36.45110008664842
mIoUda_d,97.9321526486771
mAP_di,25.68298803686584
mIoUdi_d,98.3451956709358
mAP_sm,35.3337966148473
mIoUsm_o,75.62845941248676
